Downloading zstandard (5.3MiB)
Downloading pydantic-core (2.0MiB)
 Downloaded pydantic-core
 Downloaded zstandard
Installed 45 packages in 24ms
  freshqa-229: search=yes think=no fallback=no 814 ms
  freshqa-234: search=yes think=yes fallback=no 821 ms
  freshqa-239: search=yes think=yes fallback=no 681 ms
  freshqa-240: search=yes think=yes fallback=no 956 ms
  freshqa-243: search=yes think=yes fallback=no 1061 ms
  freshqa-374: search=yes think=no fallback=no 601 ms
  freshqa-378: search=yes think=yes fallback=no 1156 ms
  freshqa-381: search=yes think=yes fallback=no 1297 ms
  freshqa-385: search=yes think=yes fallback=no 1448 ms
  freshqa-386: search=yes think=no fallback=no 613 ms
  freshqa-393: search=yes think=yes fallback=no 852 ms
  freshqa-394: search=yes think=no fallback=no 784 ms
  freshqa-396: search=yes think=no fallback=no 567 ms
  freshqa-397: search=yes think=no fallback=no 593 ms
  freshqa-400: search=yes think=yes fallback=no 860 ms
  freshqa-403: search=yes think=no fallback=no 841 ms
  freshqa-406: search=yes think=yes fallback=no 852 ms
  freshqa-407: search=yes think=yes fallback=no 784 ms
  freshqa-408: search=yes think=no fallback=no 548 ms
  freshqa-410: search=yes think=no fallback=no 594 ms
  freshqa-412: search=yes think=yes fallback=no 643 ms
  freshqa-419: search=yes think=no fallback=no 613 ms
  freshqa-426: search=yes think=yes fallback=no 909 ms
  freshqa-430: search=yes think=no fallback=no 639 ms
  freshqa-439: search=yes think=yes fallback=no 929 ms
  freshqa-440: search=yes think=no fallback=no 651 ms
  freshqa-443: search=yes think=no fallback=no 548 ms
  freshqa-445: search=yes think=no fallback=no 765 ms
  freshqa-446: search=yes think=yes fallback=no 1384 ms
  freshqa-447: search=yes think=yes fallback=no 1391 ms
  freshqa-448: search=yes think=no fallback=no 784 ms
  freshqa-451: search=yes think=no fallback=no 643 ms
  freshqa-454: search=yes think=no fallback=no 620 ms
  freshqa-456: search=yes think=yes fallback=no 1156 ms
  freshqa-460: search=yes think=yes fallback=no 993 ms
  freshqa-471: search=yes think=yes fallback=no 1251 ms
  freshqa-472: search=yes think=yes fallback=no 1164 ms
  freshqa-474: search=yes think=yes fallback=no 878 ms
  freshqa-479: search=yes think=yes fallback=no 909 ms
  freshqa-485: search=yes think=no fallback=no 936 ms
  freshqa-488: search=yes think=yes fallback=no 910 ms
  freshqa-491: search=yes think=yes fallback=no 1057 ms
  freshqa-494: search=yes think=yes fallback=no 786 ms
  freshqa-495: search=yes think=yes fallback=no 1194 ms
  freshqa-498: search=yes think=yes fallback=no 1221 ms
  freshqa-4: search=no think=yes fallback=no 386 ms
  freshqa-10: search=yes think=no fallback=no 548 ms
  freshqa-14: search=yes think=yes fallback=no 757 ms
  freshqa-19: search=yes think=no fallback=no 651 ms
  freshqa-24: search=yes think=no fallback=no 586 ms
  freshqa-27: search=yes think=no fallback=no 829 ms
  freshqa-30: search=yes think=no fallback=no 1004 ms
  freshqa-35: search=yes think=no fallback=no 594 ms
  freshqa-41: search=yes think=no fallback=no 606 ms
  freshqa-42: search=yes think=no fallback=no 612 ms
  freshqa-45: search=yes think=yes fallback=no 738 ms
  freshqa-50: search=yes think=yes fallback=no 1144 ms
  freshqa-53: search=yes think=yes fallback=no 1088 ms
  freshqa-57: search=yes think=yes fallback=no 1012 ms
  freshqa-62: search=yes think=yes fallback=no 791 ms
  freshqa-63: search=no think=no fallback=no 379 ms
  freshqa-66: search=yes think=yes fallback=no 689 ms
  freshqa-67: search=no think=no fallback=no 378 ms
  freshqa-69: search=no think=no fallback=no 385 ms
  freshqa-74: search=yes think=no fallback=no 567 ms
  freshqa-75: search=no think=no fallback=no 378 ms
  freshqa-78: search=no think=no fallback=no 386 ms
  freshqa-80: search=no think=no fallback=no 378 ms
  freshqa-82: search=yes think=yes fallback=no 1163 ms
  freshqa-84: search=yes think=yes fallback=no 1050 ms
  freshqa-86: search=yes think=yes fallback=no 1126 ms
  freshqa-87: search=yes think=no fallback=no 729 ms
  freshqa-89: search=yes think=yes fallback=no 814 ms
  freshqa-90: search=yes think=no fallback=no 993 ms
  freshqa-102: search=yes think=no fallback=no 947 ms
  freshqa-103: search=yes think=no fallback=no 594 ms
  freshqa-106: search=yes think=no fallback=no 852 ms
  freshqa-107: search=yes think=yes fallback=no 1266 ms
  freshqa-108: search=no think=no fallback=no 385 ms
  freshqa-112: search=yes think=no fallback=no 1023 ms
  freshqa-114: search=yes think=yes fallback=no 1090 ms
  freshqa-116: search=yes think=yes fallback=no 766 ms
  freshqa-118: search=yes think=yes fallback=no 1062 ms
  freshqa-119: search=yes think=yes fallback=no 745 ms
  freshqa-121: search=yes think=yes fallback=no 1309 ms
  gsm8k-nosearch-2: search=no think=yes fallback=no 402 ms
  gsm8k-nosearch-28: search=no think=yes fallback=no 385 ms
  gsm8k-nosearch-82: search=no think=yes fallback=no 379 ms
  gsm8k-nosearch-127: search=no think=yes fallback=no 386 ms
  gsm8k-nosearch-128: search=no think=yes fallback=no 491 ms
  gsm8k-nosearch-151: search=no think=yes fallback=no 400 ms
  gsm8k-nosearch-186: search=no think=yes fallback=no 394 ms
  gsm8k-nosearch-191: search=no think=yes fallback=no 379 ms
  gsm8k-nosearch-194: search=no think=yes fallback=no 476 ms
  gsm8k-nosearch-202: search=no think=yes fallback=no 386 ms
  gsm8k-nosearch-206: search=no think=yes fallback=no 402 ms
  gsm8k-nosearch-285: search=no think=yes fallback=no 379 ms
  gsm8k-nosearch-286: search=no think=yes fallback=no 387 ms
  gsm8k-nosearch-291: search=no think=yes fallback=no 378 ms
  gsm8k-nosearch-300: search=no think=yes fallback=no 394 ms
  gsm8k-nosearch-391: search=no think=yes fallback=no 389 ms
  gsm8k-nosearch-418: search=no think=yes fallback=no 473 ms
  gsm8k-nosearch-447: search=no think=yes fallback=no 379 ms
  gsm8k-nosearch-454: search=no think=yes fallback=no 386 ms
  gsm8k-nosearch-488: search=no think=yes fallback=no 388 ms
  gsm8k-nosearch-499: search=no think=yes fallback=no 386 ms
  gsm8k-nosearch-513: search=no think=yes fallback=no 389 ms
  gsm8k-nosearch-530: search=no think=yes fallback=no 396 ms
  gsm8k-nosearch-533: search=no think=yes fallback=no 394 ms
  gsm8k-nosearch-577: search=no think=yes fallback=no 405 ms
  gsm8k-nosearch-621: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-635: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-647: search=no think=yes fallback=no 402 ms
  gsm8k-nosearch-666: search=no think=yes fallback=no 401 ms
  gsm8k-nosearch-676: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-682: search=no think=yes fallback=no 403 ms
  gsm8k-nosearch-724: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-733: search=no think=yes fallback=no 383 ms
  gsm8k-nosearch-788: search=no think=yes fallback=no 386 ms
  gsm8k-nosearch-816: search=no think=yes fallback=no 379 ms
  gsm8k-nosearch-829: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-861: search=no think=yes fallback=no 402 ms
  gsm8k-nosearch-889: search=no think=yes fallback=no 385 ms
  gsm8k-nosearch-906: search=no think=yes fallback=no 379 ms
  gsm8k-nosearch-917: search=no think=yes fallback=no 387 ms
  gsm8k-nosearch-966: search=no think=yes fallback=no 385 ms
  gsm8k-nosearch-976: search=no think=yes fallback=no 396 ms
  gsm8k-nosearch-995: search=no think=yes fallback=no 389 ms
  gsm8k-nosearch-1010: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-1033: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-1047: search=no think=yes fallback=no 403 ms
  gsm8k-nosearch-1067: search=no think=yes fallback=no 401 ms
  gsm8k-nosearch-1090: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-1112: search=no think=yes fallback=no 389 ms
  gsm8k-nosearch-1123: search=no think=yes fallback=no 395 ms
  gsm8k-nosearch-1131: search=no think=yes fallback=no 394 ms
  gsm8k-nosearch-1146: search=no think=yes fallback=no 403 ms
  gsm8k-nosearch-1162: search=no think=yes fallback=no 379 ms
  gsm8k-nosearch-1194: search=no think=yes fallback=no 489 ms
  gsm8k-nosearch-1232: search=no think=yes fallback=no 481 ms
  gsm8k-nosearch-1251: search=no think=yes fallback=no 402 ms
  gsm8k-nosearch-1253: search=no think=yes fallback=no 381 ms
  gsm8k-nosearch-1266: search=no think=yes fallback=no 402 ms
  gsm8k-nosearch-1280: search=no think=yes fallback=no 474 ms
  gsm8k-nosearch-1311: search=no think=yes fallback=no 396 ms
  regression-chat53-t1: search=yes think=yes fallback=no 1261 ms
  regression-chat53-t2: search=yes think=yes fallback=no 883 ms
  regression-chat53-t3: search=yes think=yes fallback=no 1315 ms
  regression-chat53-t4: search=yes think=yes fallback=no 1569 ms
  regression-chat53-t5: search=yes think=yes fallback=no 1225 ms
  regression-chat53-t6: search=yes think=yes fallback=no 1249 ms
  regression-chat53-t7: search=yes think=yes fallback=no 1233 ms
  regression-chat53-t8: search=yes think=yes fallback=no 1516 ms
  regression-qwe-t1: search=yes think=no fallback=no 766 ms
  regression-qwe-t2: search=yes think=yes fallback=no 1191 ms
  regression-qwe-t3: search=yes think=yes fallback=no 1802 ms
config: Qwen3-8B fp8 weights, fp8 KV, vLLM 0.27.1 V1 runner, 32k ctx, prefix cache on, A10G, planner via gateway, thinking off
items 581; fallbacks 1 (scored as the pipeline acts: search on the user text, think on)
search rate (planner chose)    461/581 (79.3%)
search decision agreement      456/501 (91.0%)  (null search labels skipped)
think decision agreement       0/0 (-)  (null think labels skipped)
follow-up query entity hits    169/259 (65.3%)  (history non-empty, labelled search, must_contain non-empty)
all labelled entity hits       170/260 (65.4%)
planner latency ms             p50 831, p95 1315, max 1983

| source | n | search rate | search agree | think agree | query hit | fallbacks | ms p50 | ms p95 |  [Qwen3-8B fp8 weights, fp8 KV, vLLM 0.27.1 V1 runner, 32k ctx, prefix cache on, A10G, planner via gateway, thinking off]
|---|---|---|---|---|---|---|---|---|
| freshqa | 160 | 143/160 (89.4%) | 78/80 (97.5%) | 0/0 (-) | 0/0 (-) | 0 | 777 | 1266 |
| gsm8k | 60 | 0/60 (0.0%) | 60/60 (100.0%) | 0/0 (-) | 0/0 (-) | 0 | 395 | 476 |
| mtrag | 200 | 174/200 (87.0%) | 174/200 (87.0%) | 0/0 (-) | 55/103 (53.4%) | 0 | 906 | 1244 |
| qrecc | 150 | 133/150 (88.7%) | 133/150 (88.7%) | 0/0 (-) | 105/147 (71.4%) | 1 | 902 | 1432 |
| regression | 11 | 11/11 (100.0%) | 11/11 (100.0%) | 0/0 (-) | 10/10 (100.0%) | 0 | 1249 | n<20 |

| category | n | search rate | search agree | think agree | query hit | fallbacks | ms p50 | ms p95 |  [Qwen3-8B fp8 weights, fp8 KV, vLLM 0.27.1 V1 runner, 32k ctx, prefix cache on, A10G, planner via gateway, thinking off]
|---|---|---|---|---|---|---|---|---|
| answerable | 24 | 20/24 (83.3%) | 20/24 (83.3%) | 0/0 (-) | 0/0 (-) | 0 | 821 | 1030 |
| answerable/clarification | 25 | 22/25 (88.0%) | 22/25 (88.0%) | 0/0 (-) | 12/19 (63.2%) | 0 | 935 | 1253 |
| answerable/follow-up | 113 | 100/113 (88.5%) | 100/113 (88.5%) | 0/0 (-) | 36/73 (49.3%) | 0 | 935 | 1244 |
| chat53 | 8 | 8/8 (100.0%) | 8/8 (100.0%) | 0/0 (-) | 7/7 (100.0%) | 0 | 1249 | n<20 |
| conversational | 1 | 0/1 (0.0%) | 1/1 (100.0%) | 0/0 (-) | 0/0 (-) | 0 | 385 | n<20 |
| conversational/follow-up | 9 | 5/9 (55.6%) | 4/9 (44.4%) | 0/0 (-) | 0/0 (-) | 0 | 764 | n<20 |
| false-premise | 40 | 32/40 (80.0%) | 0/0 (-) | 0/0 (-) | 0/0 (-) | 0 | 745 | 1163 |
| fast-changing | 40 | 40/40 (100.0%) | 40/40 (100.0%) | 0/0 (-) | 0/0 (-) | 0 | 852 | 1384 |
| maths | 60 | 0/60 (0.0%) | 60/60 (100.0%) | 0/0 (-) | 0/0 (-) | 0 | 395 | 476 |
| never-changing | 40 | 33/40 (82.5%) | 0/0 (-) | 0/0 (-) | 0/0 (-) | 0 | 708 | 1079 |
| nq | 33 | 28/33 (84.8%) | 28/33 (84.8%) | 0/0 (-) | 27/33 (81.8%) | 0 | 823 | 1228 |
| partial | 2 | 2/2 (100.0%) | 2/2 (100.0%) | 0/0 (-) | 0/0 (-) | 0 | 1013 | n<20 |
| partial/clarification | 3 | 3/3 (100.0%) | 3/3 (100.0%) | 0/0 (-) | 2/2 (100.0%) | 0 | 893 | n<20 |
| partial/follow-up | 12 | 12/12 (100.0%) | 12/12 (100.0%) | 0/0 (-) | 5/9 (55.6%) | 0 | 787 | n<20 |
| quac | 111 | 99/111 (89.2%) | 99/111 (89.2%) | 0/0 (-) | 73/109 (67.0%) | 1 | 950 | 1543 |
| qwe | 3 | 3/3 (100.0%) | 3/3 (100.0%) | 0/0 (-) | 3/3 (100.0%) | 0 | 1191 | n<20 |
| slow-changing | 40 | 38/40 (95.0%) | 38/40 (95.0%) | 0/0 (-) | 0/0 (-) | 0 | 833 | 1061 |
| trec | 6 | 6/6 (100.0%) | 6/6 (100.0%) | 0/0 (-) | 5/5 (100.0%) | 0 | 736 | n<20 |
| unanswerable | 1 | 1/1 (100.0%) | 1/1 (100.0%) | 0/0 (-) | 0/0 (-) | 0 | 1352 | n<20 |
| unanswerable/clarification | 3 | 2/3 (66.7%) | 2/3 (66.7%) | 0/0 (-) | 0/0 (-) | 0 | 748 | n<20 |
| unanswerable/follow-up | 7 | 7/7 (100.0%) | 7/7 (100.0%) | 0/0 (-) | 0/0 (-) | 0 | 1106 | n<20 |

| id | turns | label search | got search | label think | got think | fallback | ms | entities | queries |  [Qwen3-8B fp8 weights, fp8 KV, vLLM 0.27.1 V1 runner, 32k ctx, prefix cache on, A10G, planner via gateway, thinking off]
|---|---|---|---|---|---|---|---|---|---|
| mtrag-35e6be0f20-t6 | 10 | no | no | - | no | no | 495 | - |  |
| mtrag-6495c82abb-t3 | 4 | yes | yes | - | yes | no | 1146 | yes | danger of the rise of the sea level; impacts of rising sea levels on coastal areas; consequences of sea level rise for human populations |
| mtrag-1be6627211-t3 | 4 | yes | yes | - | yes | no | 885 | no | what are weak understanding metrics; examples of weak understanding metrics; how to improve weak understanding metrics |
| mtrag-dd82f0f978-t8 | 14 | yes | yes | - | yes | no | 1210 | - | Basketball popularity in America; Basketball as a popular sport in the US; Basketball's status in American sports culture |
| mtrag-c5518952b7-t4 | 6 | yes | yes | - | yes | no | 1152 | no | How to open a second bank account for business in the USA; Free checking account options for business in the USA; Requirements to open a second bank account with a foreign passport |
| mtrag-d2432696b3-t5 | 8 | yes | yes | - | yes | no | 789 | - | How are cyclones on Earth formed? |
| mtrag-34ac6bedd4-t4 | 6 | yes | yes | - | yes | no | 805 | yes | Red Hat Virtualization vs Red Hat OpenShift; Red Hat OpenShift virtualization features |
| mtrag-47b2471404-t2 | 2 | yes | yes | - | no | no | 593 | yes | What is the Lite pricing plan in IBM Cloud |
| mtrag-be461bfeda-t4 | 6 | yes | yes | - | yes | no | 846 | - | parts of a tag in software versioning; components of a version tag |
| mtrag-5b2404d71f-t8 | 14 | yes | yes | - | yes | no | 1245 | no | Is climate change the cause of natural disasters?; How does climate change affect natural disasters?; What is the relationship between climate change and natural disasters? |
| mtrag-f05ba9633e-t6 | 10 | yes | yes | - | yes | no | 1244 | no | Pros and cons of buying vs renting a home in 2026; Current trends in home buying versus renting; Financial implications of buying versus renting a home |
| mtrag-1dcbbeb35d-t4 | 6 | yes | yes | - | yes | no | 752 | - | What is considered a strong password?; Criteria for a strong password |
| mtrag-d5f0e7023a-t7 | 12 | yes | yes | - | yes | no | 845 | yes | largest river in North America; longest river in North America |
| mtrag-94d04f2cd4-t5 | 8 | yes | no | - | yes | no | 549 | no |  |
| mtrag-5600fe1c05-t6 | 10 | yes | yes | - | yes | no | 1142 | yes | how to make a pinhole projector for solar eclipse viewing; instructions for building a solar eclipse pinhole projector; materials needed to create a pinhole projector for eclipse |
| mtrag-62a5aee8a4-t7 | 12 | yes | yes | - | yes | no | 987 | yes | Solutions to groundwater contamination; Methods to clean up polluted groundwater; Techniques for preventing groundwater pollution |
| mtrag-717ca9138f-t8 | 14 | yes | yes | - | yes | no | 1103 | - | How to introduce Friends to family and friends; Best ways to recommend Friends TV show; Tips for suggesting Friends to others |
| mtrag-8040ccdfc0-t3 | 4 | yes | yes | - | yes | no | 924 | no | how to select a credit card based on needs; credit card selection criteria; factors to consider when choosing a credit card |
| mtrag-1534a09527-t5 | 8 | yes | yes | - | yes | no | 821 | - | types of aviation photography besides air-to-air and ground-to-air; other forms of aviation photography |
| mtrag-c1e53df98a-t1 | 0 | yes | yes | - | yes | no | 999 | - | Robert Louis Stevenson's 'A Child's Garden of Verses' summary; Themes in Robert Louis Stevenson's 'A Child's Garden of Verses' |
| mtrag-d5b1e735a0-t8 | 14 | yes | no | - | yes | no | 608 | - |  |
| mtrag-95a0893567-t5 | 8 | yes | yes | - | yes | no | 897 | - | What did Meng Tian do?; Meng Tian contributions; Meng Tian achievements |
| mtrag-cfbcfa3e38-t5 | 8 | yes | yes | - | yes | no | 1014 | - | why is guinea pig called pig; origin of the name guinea pig; etymology of guinea pig name |
| mtrag-ca6f0197d2-t2 | 2 | yes | yes | - | yes | no | 904 | - | factors that have major impact on credit score; credit score components and their importance; what affects credit score the most |
| mtrag-a3f07e9ed5-t3 | 4 | yes | yes | - | yes | no | 969 | yes | release date of grenade by bruno mars; when was grenade by bruno mars released; Bruno Mars song grenade release date |
| mtrag-766728e82e-t3 | 4 | yes | yes | - | yes | no | 822 | yes | Can I see Saturn's rings from away from the city?; Saturn's rings visibility from rural areas |
| mtrag-af57ff6995-t5 | 8 | yes | yes | - | yes | no | 873 | yes | advantages of women owned companies; benefits of women owned businesses; government contracts for women owned companies |
| mtrag-dc1aaac0b3-t3 | 4 | yes | yes | - | yes | no | 1008 | yes | IRA accounts and day trading tax implications; how IRA accounts affect day trading profits; tax treatment of day trading in IRA accounts |
| mtrag-91715ec6ec-t4 | 6 | yes | yes | - | yes | no | 1140 | - | Can New York boating safety certificate be used in other states?; NY boating safety certificate validity in other states; New York boating certificate recognition in other states |
| mtrag-4da5a7f42f-t5 | 8 | yes | yes | - | yes | no | 1459 | no | Can a French national have credit activities in the US without living there?; What credit activities are needed for a French national to have a US credit report?; Does living in the US affect a French national's ability to have a US credit report? |
| mtrag-8a19ee37ca-t4 | 6 | yes | no | - | yes | no | 530 | - |  |
| mtrag-41a4006bfa-t2 | 2 | yes | yes | - | no | no | 796 | no | official reunification of Germany date; when did Germany officially reunite; date of German reunification |
| mtrag-61374b240d-t7 | 12 | yes | yes | - | yes | no | 1191 | - | taxation on retirement income in the United States; retirement account taxes and how they work; tax implications of retirement savings and withdrawals |
| mtrag-535ebd3063-t6 | 10 | yes | yes | - | yes | no | 1293 | - | EV used car market trends 2026; EV used car prices 2026; EV used car demand and supply 2026 |
| mtrag-13a398b300-t5 | 8 | yes | yes | - | yes | no | 1075 | yes | Appalachian Mountains in North Carolina; Tourism in Appalachian Mountains; Weather in Appalachian Mountains |
| mtrag-af5e45e59e-t2 | 2 | yes | yes | - | yes | no | 747 | no | Do US-based companies need to comply with SEC regulations?; SEC regulations for US-based companies |
| mtrag-d7b4f863ba-t4 | 6 | yes | yes | - | no | no | 878 | yes | Distance from Earth to Sun; Average distance between Earth and Sun; What is the distance to the Sun |
| mtrag-2f94b6fb4c-t4 | 6 | yes | yes | - | yes | no | 1221 | - | Can I change my 401k contribution mid-year; How to adjust 401k contributions during the year; 401k contribution changes mid-year rules |
| mtrag-62888f39e7-t6 | 10 | yes | yes | - | yes | no | 972 | yes | bicycle regulations in New York; bike safety laws in New York; rules for bicycles in New York |
| mtrag-0208bf26ec-t5 | 8 | yes | yes | - | yes | no | 763 | - | Are guinea pigs raised for human consumption?; Guinea pigs as food animals |
| mtrag-5815bb4a99-t7 | 12 | yes | yes | - | yes | no | 893 | - | What is Apache Spark?; Key features of Apache Spark; Use cases of Apache Spark |
| mtrag-d44c3196b3-t4 | 6 | yes | yes | - | yes | no | 976 | - | What systems use to protect personal information; Techniques used to protect personal information; Systems for protecting personal information |
| mtrag-2cc753bcef-t8 | 14 | yes | yes | - | yes | no | 1079 | yes | how to recycle latex paint for people with latex allergies; safe ways to dispose of latex paint for allergic individuals |
| mtrag-1c041ce47a-t6 | 10 | yes | yes | - | yes | no | 1091 | no | What is a data lake?; Features of a data lake; Use cases of data lakes |
| mtrag-747a810abf-t7 | 12 | yes | yes | - | yes | no | 762 | no | Is storage included in the VPC price? IBM Cloud |
| mtrag-4751cd8210-t7 | 12 | yes | yes | - | yes | no | 1001 | no | FIFO vs LIFO for tax purposes in the US; tax implications of FIFO and LIFO for stocks |
| mtrag-6a738cc02c-t5 | 8 | yes | yes | - | yes | no | 1029 | yes | ideas to preserve fertility before chemotherapy; fertility preservation options for children before puberty; fertility preservation techniques for prepubertal patients |
| mtrag-5503c6e98c-t2 | 2 | yes | yes | - | yes | no | 787 | no | presence of hydrogen on Mars; hydrogen sources on Mars; water formation on Mars |
| mtrag-c6c3b02ca3-t7 | 12 | yes | yes | - | yes | no | 904 | no | What is IBM Cloud Container Registry?; How to create an encrypted image in IBM Cloud Container Registry |
| mtrag-258193fc88-t7 | 12 | yes | yes | - | yes | no | 1277 | no | Can charitable donations in a will be tax-deductible; How to make charitable donations in a will; Tax implications of charitable donations in a will |
| mtrag-f0d2873b87-t7 | 12 | yes | yes | - | yes | no | 1192 | - | How to get enforcement support for child support in the United States; Enforcement support for child support orders; Child support enforcement services available |
| mtrag-20c2cbd18c-t2 | 2 | yes | yes | - | no | no | 693 | no | Features of CIS bot; What are the features of CIS bot |
| mtrag-33431330ab-t8 | 14 | yes | yes | - | yes | no | 1089 | no | When did the Byzantine Empire become Catholic; When was the Byzantine Empire officially recognized as Catholic |
| mtrag-e9dd465e8d-t1 | 0 | yes | no | - | no | no | 384 | - |  |
| mtrag-aea2634b0e-t6 | 10 | yes | yes | - | yes | no | 985 | - | Can same sex couples adopt children in the United States; Adoption rights for same sex couples |
| mtrag-79f0d0539d-t6 | 10 | yes | yes | - | yes | no | 1100 | yes | Can primary sources be used in literature; Importance of primary sources in literature; Examples of primary sources in literature |
| mtrag-f1121a39d8-t2 | 2 | yes | yes | - | yes | no | 884 | yes | reasons small businesses fail; common causes of small business failure; factors leading to small business failure |
| mtrag-927077bd89-t1 | 0 | yes | yes | - | yes | no | 833 | - | Differences between version 6.15.0 and 6.14.0 of a specific software |
| mtrag-adf9b1f61c-t4 | 6 | yes | yes | - | yes | no | 1212 | yes | differences between fixed, metered, tiered, and reserved pricing models in IBM Cloud; IBM Cloud pricing model types: fixed, metered, tiered, reserved |
| mtrag-6af5334fbd-t6 | 10 | yes | no | - | yes | no | 627 | no |  |
| mtrag-b2805ee4c4-t2 | 2 | yes | yes | - | yes | no | 778 | yes | impact of cotton gin on labor demand; cotton gin and increase in cotton workers |
| mtrag-81afaf82a0-t1 | 0 | yes | no | - | no | no | 385 | - |  |
| mtrag-dcc0215a11-t3 | 4 | yes | yes | - | yes | no | 925 | - | Investing in foreign bonds; Risks of investing in foreign bonds; Benefits of investing in foreign bonds |
| mtrag-2b34f5e786-t5 | 8 | no | yes | - | yes | no | 1195 | - | Germany's current economic strength 2026; Germany's role in European debt management 2026; Germany's economic diversification 2026 |
| mtrag-04f83f1199-t2 | 2 | yes | yes | - | yes | no | 1023 | no | Does physical activity increase a child's attention span?; Impact of physical activity on children's attention span; Research on physical activity and children's attention span |
| mtrag-4fb9958d3e-t2 | 2 | yes | no | - | yes | no | 448 | no |  |
| mtrag-0ef145e499-t7 | 12 | yes | yes | - | yes | no | 1040 | no | how to report government website hacking incidents; steps to take if a government website is hacked; government response to hacked websites |
| mtrag-91204c45fc-t3 | 4 | yes | yes | - | no | no | 613 | - | how many films does doctor strange appear in |
| mtrag-fdee20f7fd-t7 | 12 | yes | yes | - | yes | no | 1132 | - | How to add user identity information to a web chat widget; Adding user details to web chat integration; Customizing web chat with user identity |
| mtrag-72ba19c385-t3 | 4 | yes | no | - | yes | no | 426 | no |  |
| mtrag-251e29286c-t1 | 0 | yes | yes | - | yes | no | 757 | - | Can Medi-Cal members get free medical tests?; Are medical tests covered for Medi-Cal recipients? |
| mtrag-a6eab3f851-t4 | 6 | yes | yes | - | yes | no | 957 | - | downsides of investing in foreign markets; risks of investing in foreign stocks; challenges of investing in international markets |
| mtrag-f0d3086322-t2 | 2 | yes | no | - | yes | no | 386 | no |  |
| mtrag-5f9ccf0a4f-t1 | 0 | yes | yes | - | yes | no | 961 | - | How to report a scam in the United States; Reporting scams in the UK; Scam reporting procedures in Canada |
| mtrag-f5a8ca2f2b-t5 | 8 | yes | no | - | yes | no | 484 | - |  |
| mtrag-fd99b316e5-t3 | 4 | yes | yes | - | yes | no | 622 | no | Can women play soccer; Women in soccer |
| mtrag-2f484ad8f3-t8 | 14 | yes | yes | - | yes | no | 906 | - | Does Europa Clipper fly by Europa?; Europa Clipper mission details |
| mtrag-ddbbbe7ea1-t2 | 2 | yes | yes | - | yes | no | 917 | yes | How many annotators are needed for a reliable score agreement level?; What is the recommended number of annotators for annotation tasks? |
| mtrag-3a07680acf-t4 | 6 | yes | yes | - | yes | no | 752 | no | origin of HIV; first cases of HIV |
| mtrag-d4d8edb3e0-t2 | 2 | yes | yes | - | yes | no | 887 | yes | how to pay off debt quickly; fastest way to get rid of debt; strategies to eliminate debt quickly |
| mtrag-29e3ec96a6-t1 | 0 | yes | yes | - | no | no | 567 | - | Viceroy of India during Quit India Movement |
| mtrag-e1b602e47d-t1 | 0 | yes | no | - | no | no | 385 | - |  |
| mtrag-e52ab8d5f6-t5 | 8 | yes | yes | - | yes | no | 846 | yes | West Nile virus animal infected diseases; West Nile virus in animals; West Nile virus animal hosts |
| mtrag-a277cf5022-t4 | 6 | yes | yes | - | yes | no | 1500 | no | Why didn't MacArthur criminalize the Emperor of Japan after World War II?; What was the reason behind not prosecuting the Japanese Emperor during the post-WWII trials?; Did MacArthur have any specific reasons for not criminalizing the Emperor of Japan? |
| mtrag-fc3e765d7f-t5 | 8 | yes | yes | - | yes | no | 1239 | yes | Do people who receive welfare also receive housing assistance?; What housing programs are available for welfare recipients?; How does housing assistance work for individuals on welfare? |
| mtrag-dd6b6ffd17-t3 | 4 | yes | yes | - | yes | no | 1092 | - | Are the Arizona Cardinals and the Chicago Cardinals the same team?; History of Arizona Cardinals and Chicago Cardinals relationship; Arizona Cardinals vs Chicago Cardinals team comparison |
| mtrag-1c0e5e78f1-t4 | 6 | yes | yes | - | yes | no | 1226 | yes | why did The Office season 9 premiere have a 46% drop in viewership; audience demographics for The Office season 9; reasons for The Office viewership decline |
| mtrag-9c52934a9a-t5 | 8 | yes | yes | - | yes | no | 1029 | yes | Is it okay to invest a small amount in startups?; Can I invest a little in startups?; Minimum investment in startups |
| mtrag-b4614daadc-t4 | 6 | yes | yes | - | yes | no | 1094 | yes | What is the customization ID in the context of IBM Watson Speech to Text service?; How to obtain a customization ID for IBM Watson Speech to Text service? |
| mtrag-a2698b2973-t3 | 4 | yes | yes | - | yes | no | 1399 | no | How effective are catch basins in capturing litter and debris from stormwater runoff; Do catch basins effectively remove debris from water entering storm drains; What is the efficiency of catch basins in trapping litter and pollutants from urban runoff |
| mtrag-c01c8cf114-t2 | 2 | yes | yes | - | yes | no | 1049 | yes | Issues with installing mobile SDK using CocoaPods; Common problems when using CocoaPods for SDK installation; Limitations of CocoaPods for mobile SDK installation |
